Experiment,RMSE,MAE,Precision@5,Recall@5,NDCG@5,Revenue Lift,Sales Lift,Best Parameters
Electronics_50000,1.2310426316674206,0.9329435651143392,0.5648,0.8741851565667357,1.0,39.54%,39.54%,"{'n_estimators': 1000, 'learning_rate': 0.01, 'max_depth': 5}"
Electronics_50000_collab_filter,1.2428286838699005,0.9716594462076823,-,-,-,-,-,-
Electronics_50000_content_based,1.3675950285297032,1.1781054829915365,-,-,-,-,-,-
Electronics_50000_temporal,1.2762602754664398,0.9516226521492004,-,-,-,-,-,-
Electronics_100000,1.2365235501676684,0.9637954219977061,0.5944,0.8363372722348245,1.0,41.61%,41.61%,"{'n_estimators': 1000, 'learning_rate': 0.01, 'max_depth': 5}"
Electronics_100000_collab_filter,1.2459214871927895,0.974179086303711,-,-,-,-,-,-
Electronics_100000_content_based,1.380657422607693,0.8406493371009827,-,-,-,-,-,-
Electronics_100000_temporal,1.2711573849247708,0.9638271472613017,-,-,-,-,-,-
Books_50000,1.021724575506206,0.6576138849955613,0.5832,0.828088067724465,1.0,40.82%,40.82%,"{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 8}"
Books_50000_collab_filter,0.986032101454258,0.7766579258530982,-,-,-,-,-,-
Books_50000_content_based,1.0251156546767946,0.7038036023476335,-,-,-,-,-,-
Books_50000_temporal,0.9979013554625744,0.7173720163749402,-,-,-,-,-,-
Books_100000,0.9622340212406185,0.6919080660342692,0.6788,0.750113063403394,1.0,47.52%,47.52%,"{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 8}"
Books_100000_collab_filter,0.9794959985806062,0.7840199836094114,-,-,-,-,-,-
Books_100000_content_based,1.0014903138746476,0.7653742846887743,-,-,-,-,-,-
Books_100000_temporal,0.969692803830504,0.7218793282922785,-,-,-,-,-,-
Clothing_Shoes_and_Jewelry_50000,1.1031595702215706,0.8409033507347107,0.6296,0.8491206487047743,1.0010173618857665,44.07%,44.07%,"{'n_estimators': 1000, 'learning_rate': 0.01, 'max_depth': 5}"
Clothing_Shoes_and_Jewelry_50000_collab_filter,1.106029027525663,0.8627949345906576,-,-,-,-,-,-
Clothing_Shoes_and_Jewelry_50000_content_based,1.1835952078185197,0.8441044185638428,-,-,-,-,-,-
Clothing_Shoes_and_Jewelry_50000_temporal,1.1334813215444421,0.8336335204760233,-,-,-,-,-,-
Clothing_Shoes_and_Jewelry_100000,1.0987126857361622,0.852674266052246,0.7,0.7805731970147057,1.0,49.00%,49.00%,"{'n_estimators': 1000, 'learning_rate': 0.01, 'max_depth': 5}"
Clothing_Shoes_and_Jewelry_100000_collab_filter,1.1029430823650306,0.8626123842875163,-,-,-,-,-,-
Clothing_Shoes_and_Jewelry_100000_content_based,1.2307255849304597,1.0200421692212422,-,-,-,-,-,-
Clothing_Shoes_and_Jewelry_100000_temporal,1.1134525602497647,0.8322825644016266,-,-,-,-,-,-
Home_and_Kitchen_50000,1.1390645135860697,0.8708740584055583,0.6928,0.8338645278302559,1.0007062539294567,48.50%,48.50%,"{'n_estimators': 1000, 'learning_rate': 0.01, 'max_depth': 5}"
Home_and_Kitchen_50000_collab_filter,1.1374187286716722,0.86662025197347,-,-,-,-,-,-
Home_and_Kitchen_50000_content_based,1.2442312149398058,0.7185690779685974,-,-,-,-,-,-
Home_and_Kitchen_50000_temporal,1.1829050512216255,0.8553876660346985,-,-,-,-,-,-
Home_and_Kitchen_100000,1.113121411507513,0.8323151853720347,0.7164,0.7678048972559337,1.0003020392364557,50.15%,50.15%,"{'n_estimators': 1000, 'learning_rate': 0.01, 'max_depth': 5}"
Home_and_Kitchen_100000_collab_filter,1.116371711301242,0.8480010471343994,-,-,-,-,-,-
Home_and_Kitchen_100000_content_based,1.181177139148717,0.8926302704970042,-,-,-,-,-,-
Home_and_Kitchen_100000_temporal,1.1340735303730995,0.8297179914792379,-,-,-,-,-,-
